timestamp,ofi_best_level,ofi_integrated,ofi_level_1,ofi_level_2,ofi_level_3,ofi_level_4,ofi_level_5,ofi_level_6,ofi_level_7,ofi_level_8,ofi_level_9,ofi_level_10
2024-10-21 12:23:29.221064336+00:00,527.0,-527.1982143631521,527.0,1589.0,719.0,-4483.0,3489.0,-2870.0,7669.0,-3623.0,1094.0,-1003.0
2024-10-21 12:24:29.221064336+00:00,-897.0,390.2207704455782,-897.0,-2590.0,-150.0,1833.0,583.0,-789.0,6005.0,-1716.0,-2444.0,-1122.0
2024-10-21 12:25:29.221064336+00:00,-171.0,717.755810021957,-171.0,-1206.0,-1664.0,1675.0,3547.0,-512.0,2916.0,-523.0,-1830.0,1060.0
2024-10-21 12:26:29.221064336+00:00,79.0,-263.99667436709933,79.0,885.0,-1406.0,-1009.0,1799.0,-913.0,1581.0,711.0,-648.0,-245.0
2024-10-21 12:27:29.221064336+00:00,747.0,167.61191241607438,747.0,241.0,-572.0,-4828.0,9844.0,-4527.0,5575.0,-1261.0,183.0,509.0
2024-10-21 12:28:29.221064336+00:00,-586.0,-157.3402994749673,-586.0,-1211.0,1274.0,-3375.0,694.0,3811.0,179.0,-533.0,-195.0,-278.0
2024-10-21 12:29:29.221064336+00:00,-1251.0,227.7991495883981,-1251.0,843.0,-830.0,-7073.0,13501.0,-4780.0,9244.0,-3251.0,-751.0,-1252.0
2024-10-21 12:30:29.221064336+00:00,-3074.0,-362.58801758359544,-3074.0,-483.0,-5352.0,4900.0,-2387.0,1322.0,1093.0,-65.0,-722.0,924.0
2024-10-21 12:31:29.221064336+00:00,-3552.0,1748.3140978644212,-3552.0,-450.0,1611.0,5983.0,-1725.0,878.0,1831.0,-1366.0,-2312.0,-526.0
2024-10-21 12:32:29.221064336+00:00,-3677.0,1466.2812087058649,-3677.0,657.0,726.0,2693.0,2806.0,-1416.0,-23.0,4098.0,-2162.0,-930.0
2024-10-21 12:33:29.221064336+00:00,-2584.0,438.62683164629334,-2584.0,-1106.0,698.0,831.0,713.0,-548.0,-101.0,1870.0,-111.0,-1301.0
2024-10-21 12:34:29.221064336+00:00,-3093.0,1182.0466815075674,-3093.0,-347.0,1355.0,2942.0,-181.0,754.0,1733.0,-167.0,-1061.0,-247.0
2024-10-21 12:35:29.221064336+00:00,-1064.0,236.93893076562065,-1064.0,-3182.0,558.0,2766.0,-2796.0,1411.0,5451.0,-5422.0,-326.0,-401.0
